종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"058970","엠로","KOSDAQ","소프트웨어","59600","-800","-1.32","668242352000"
"019590","엠벤처투자","KOSDAQ","금융","900","32","3.69","102569887800"
"169330","엠브레인","KOSDAQ","기타서비스","3085","-55","-1.75","56322592030"
"373170","엠아이큐브솔루션","KOSDAQ","소프트웨어","14480","-190","-1.30","72222330400"
"179290","엠아이텍","KOSDAQ","의료·정밀기기","6430","20","0.31","207661209540"
"009780","엠에스씨","KOSDAQ","음식료·담배","5090","-40","-0.78","89584000000"
"123040","엠에스오토텍","KOSDAQ","운송장비·부품","5050","-60","-1.17","230574298850"
"323230","엠에프엠코리아","KOSDAQ","섬유·의류","843","-91","-9.74","36479133099"
"032790","엠젠솔루션","KOSDAQ","정보기기","1376","-37","-2.62","57457030688"
"033160","엠케이전자","KOSDAQ","반도체","13330","-170","-1.26","294144192230"
"347890","엠투아이","KOSDAQ","정보기기","7950","-70","-0.87","134459971800"
"033310","엠투엔","KOSDAQ","금속","2965","-70","-2.31","119614714915"
"259630","엠플러스","KOSDAQ","기계·장비","12240","-20","-0.16","150336600480"
"115960","연우","KOSDAQ","화학","14120","0","0.00","175059760000"
"060850","영림원소프트랩","KOSDAQ","소프트웨어","8910","-30","-0.34","72447210000"
"143540","영우디에스피","KOSDAQ","반도체","1059","3","0.28","47231288805"
"036560","영풍정밀","KOSDAQ","기계·장비","12550","0","0.00","197662500000"
"265560","영화테크","KOSDAQ","운송장비·부품","9200","-50","-0.54","98349656000"
"036000","예림당","KOSDAQ","출판·매체복제","1806","17","0.95","41599904262"
"250930","예선테크","KOSDAQ","화학","728","-8","-1.09","24024320320"
"053280","예스24","KOSDAQ","인터넷","4945","-105","-2.08","123625000000"
"122640","예스티","KOSDAQ","반도체","19000","0","0.00","361842498000"
"900300","오가닉티코스메틱","KOSDAQ","금융","77","-1","-1.28","18885288037"
"045060","오공","KOSDAQ","화학","3175","0","0.00","53790767450"
"080520","오디텍","KOSDAQ","반도체","4910","-45","-0.91","57675850190"
"039830","오로라","KOSDAQ","기타서비스","7280","-10","-0.14","78353839200"
"322310","오로스테크놀로지","KOSDAQ","기계·장비","34400","-700","-1.99","322209044800"
"046120","오르비텍","KOSDAQ","기타서비스","3475","-15","-0.43","94064163400"
"014940","오리엔탈정공","KOSDAQ","기계·장비","2780","-20","-0.71","126694777580"
"065500","오리엔트정공","KOSDAQ","운송장비·부품","1396","15","1.09","44313105152"
"010470","오리콤","KOSDAQ","기타서비스","9240","-50","-0.54","110649462000"
"417860","오브젠","KOSDAQ","소프트웨어","20650","-500","-2.36","80635152500"
"352910","오비고","KOSDAQ","소프트웨어","8340","-50","-0.60","101704698720"
"053980","오상자이엘","KOSDAQ","소프트웨어","5790","-90","-1.53","109910313570"
"052420","오성첨단소재","KOSDAQ","IT부품","1469","3","0.20","122370463189"
"241790","오션브릿지","KOSDAQ","반도체","12040","50","0.42","120431713360"
"039200","오스코텍","KOSDAQ","제약","22850","1350","6.28","867933440300"
"226400","오스테오닉","KOSDAQ","의료·정밀기기","5430","30","0.56","112192493430"
"031510","오스템","KOSDAQ","운송장비·부품","1807","-31","-1.69","50596000000"
"368970","오에스피","KOSDAQ","음식료·담배","5340","90","1.71","49908494400"
"138080","오이솔루션","KOSDAQ","통신장비","15540","-110","-0.70","165098436300"
"080580","오킨스전자","KOSDAQ","반도체","11050","-550","-4.74","195356242900"
"067170","오텍","KOSDAQ","운송장비·부품","4480","-50","-1.10","68954390400"
"353590","오토앤","KOSDAQ","유통","6520","-130","-1.95","83948716400"
"173130","오파스넷","KOSDAQ","소프트웨어","10800","-160","-1.46","128092644000"
"440320","오픈놀","KOSDAQ","소프트웨어","8400","-160","-1.87","82362000000"
"049480","오픈베이스","KOSDAQ","컴퓨터서비스","2615","0","0.00","82169531545"
"394280","오픈엣지테크놀로지","KOSDAQ","소프트웨어","33300","-1700","-4.86","723456153000"
"309930","오하임앤컴퍼니","KOSDAQ","유통","3190","-15","-0.47","67868494100"
"244460","올리패스","KOSDAQ","제약","560","-22","-3.78","17277345680"
"226950","올릭스","KOSDAQ","기타서비스","16650","1160","7.49","274072170150"
"057540","옴니시스템","KOSDAQ","의료·정밀기기","859","-7","-0.81","52784995945"
"131030","옵투스제약","KOSDAQ","제약","5340","0","0.00","86257885080"
"082210","옵트론텍","KOSDAQ","IT부품","4360","-25","-0.57","111725741200"
"109080","옵티시스","KOSDAQ","통신장비","10160","-100","-0.97","57261760000"
"380540","옵티코어","KOSDAQ","통신장비","1436","-50","-3.36","41352629856"
"153710","옵티팜","KOSDAQ","제약","6600","10","0.15","96821722800"
"321820","와이더플래닛","KOSDAQ","출판·매체복제","16130","-180","-1.10","215600999800"
"432430","와이랩","KOSDAQ","디지털컨텐츠","12100","-60","-0.49","193779322000"
"338840","와이바이오로직스","KOSDAQ","기타서비스","8960","-150","-1.65","132274024960"
"122990","와이솔","KOSDAQ","반도체","7230","20","0.28","203791583430"
"112290","와이씨켐","KOSDAQ","반도체","15760","2370","17.70","159342189200"
"232140","와이아이케이","KOSDAQ","반도체","5850","-310","-5.03","479965297500"
"065530","와이어블","KOSDAQ","통신서비스","2100","10","0.48","111006000000"
"067900","와이엔텍","KOSDAQ","기타서비스","7340","-40","-0.54","133585497060"
"007530","와이엠","KOSDAQ","금속","2640","55","2.13","50620553280"
"155650","와이엠씨","KOSDAQ","IT부품","5170","-10","-0.19","100682430860"
"273640","와이엠텍","KOSDAQ","일반전기전자","14110","-40","-0.28","154730260000"
"251370","와이엠티","KOSDAQ","화학","11870","0","0.00","193652687680"
"066430","와이오엠","KOSDAQ","유통","666","-4","-0.60","26076215016"
"193250","와이제이엠게임즈","KOSDAQ","IT부품","796","-8","-1.00","50405408092"
"273060","와이즈버즈","KOSDAQ","기타서비스","1570","38","2.48","79221543740"
"019210","와이지-원","KOSDAQ","금속","6210","-190","-2.97","208493415990"
